Modelo,Q2,i3,Tiggo 5x,Colorado,,RAM,Ducato,Fusion,,M4,Insight,i30,Mohave,MG3,,BT-50,EQB,Galant,Micra,308,Laguna,STI,Ignis,Corolla,Constellation,,,,UNI-K,,,,SX11,,Jolion,Reward,T6,,,RX,Swift,Roadster,,,,Yeti,V40
Modelo,Q3,i4,Tiggo 6,Corsa,,Spirit,Fiorino,Galaxy,,Poer,Jazz,i40,Morning,MG4,,CX-3,EQC,i-MiEV,Murano,308 2023,Latitude,,Jimny,Corolla Cross,Crafter,,,,UNI-T,,,,SX12,,,,T8,,,UX,Vitara,,,,,,V50
Modelo,Q4,i7,Tiggo 7,Corvette,,Stratus,Freemont,Ka,,Safe,Legend,i800,Niro,MG5,,CX-30,EQE,L200,Note,3008,Logan,,Kizashi,Crown,Golf,,,,,,,,,,,,,,,,Wagon R,,,,,,V60
Modelo,Q5,i8,Tiggo 7 Pro,Cruze,,Viper,Idea,Kuga,,Safe 2.2,N-Box,Ioniq,Opirus,MG6,,CX-4,EQS,Lancer,NP300,405,Megane,,Maruti,FJ Cruiser,ID.3,,,,,,,,,,,,,,,,XL6,,,,,,V70
Modelo,Q7,iX,Tiggo 8,Cruze 1.8,,,Linea,Maverick,,Steed,NSX,IX20,Optima,MG7,,CX-5,G-Class,Mirage,NV200,406,Modus,,SX4,Fortuner,ID.4,,,,,,,,,,,,,,,,,,,,,,V90
Modelo,Q8,M2,Tiggo 8 Pro,D-Max,,,Mobi,Mondeo,,Voleex,Odyssey,IX35,Pegas,Marvel R,,CX-60,GLA,Montero,NV350,407,Sandero,,Swift,GR86,ID.5,,,,,,,,,,,,,,,,,,,,,,XC40
Modelo,R8,M3,,Dmax 2014,,,Palio,Mustang,,Wingle,Passport,IX55,Picanto,MG8,,CX-7,GLB,Outlander,Pathfinder,408,Scenic,,SX4 S-Cross,GR Supra,ID.6,,,,,,,,,,,,,,,,,,,,,,XC60
Modelo,RS Q3,M4,,Equinox,,,Punto,Puma,,Wingle 5,Pilot,Kona,Pregio,MG3,,CX-8,GLC,Outlander PHEV,Primera,5008,Symbol,,Vitara,Highlander,Jetta,,,,,,,,,,,,,,,,,,,,,,XC70
Modelo,RS Q8,M5,,Joy,,,Qubo,Ranger,,Wingle 6,Prelude,Matrix,Pride,MG5,,CX-9,GLE,Pajero,Pulsar,508,Talisman,,Wagon R,Hilux,Passat,,,,,,,,,,,,,,,,,,,,,,XC90
Modelo,RS3,M6,,Montana,,,Siena,Raptor,,Wingle 7,Ridgeline,Palisade,ProCeed,ZS,,Demio,GLK,Pajero Sport,Qashqai,607,Twingo,,XL6,Land Cruiser,Polo,,,,,,,,,,,,,,,,,,,,,,
Modelo,RS4,M8,,N300,,,Stilo,Territory,,,S2000,Santa Fe,Rio,ZS EV,,MX-3,GLS,Rosa,Quest,806,Zoe,,,Land Cruiser Prado,Scirocco,,,,,,,,,,,,,,,,,,,,,,
Modelo,RS5,X1,,Onix,,,Strada,Taurus,,,S660,Sonata,Seltos,,,MX-5,GT,4P10,Rogue,807,,,,Mirai,Sharan,,,,,,,,,,,,,,,,,,,,,,
Modelo,RS6,X2,,Orlando,,,Tipo,Transit,,,Stream,Staria,Sonet,,,MX-6,GTS,Canter,RD28,Expert,,,,Prius,T-Cross,,,,,,,,,,,,,,,,,,,,,,
Modelo,RS7,X3,,S10,,,Toro,,,,Type R,Terracan,Soul,,,Protege,ML-Class,Delica,Sentra,iOn,,,,RAV4,T-Roc,,,,,,,,,,,,,,,,,,,,,,
Modelo,S3,X4,,Sail,,,Uno,,,,Vezel,Tucson,Sportage,,,,Sprinter,Fuso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
